Position,Month,Temp (°C),DO (mg/L),FCH₄ nmol/(m⁻²·s⁻¹),FCO₂ nmol/(m⁻²·s⁻¹),Chl a (μg/L),NO₃-N (mg/L),NO₂-N (mg/L),PO₄-P (mg/L),TN (mg/L),TP (mg/L),DOC (ppm),DIC (ppm)
15,2023-09-02,28.9,5.57,31.57047378627,-27.85630039965,16.266,0.259766763848396,0.0540840738209159,0.0285437832607644,0.673841834347216,,,9.6104
16,2023-09-02,28.9,5.42,12.99960685317,135.56732861163,16.2726666666667,0.115451895043732,0.131835269993165,0.03096274794388,0.673841834347216,,,9.9832
1,2023-09-07,28.5,4.28,11.1572955885487,581.109145236911,6.24266666666667,0.0352769679300291,0.00965481886534518,0.0285437832607644,0.383715489003276,0.562142366674296,4.409,10.6169
2,2023-09-07,28.5,5.82,8.36797169141152,185.954926475812,6.49,0.0245869776482021,0.0113636363636364,0.03096274794388,0.280767430978006,0.539253833829252,4.207,12.796
3,2023-09-07,28.7,5.75,34.378867519345,584.440747828865,4.622,0.0513119533527696,0.0164900888585099,0.0382196419932269,0.327562002807674,0.223392080567636,4.593,11.2472
4,2023-09-07,30.3,11.36,4.62129704823106,-152.502802591625,0.0,0.0513119533527698,0.0669002050580998,0.0261248185776488,0.262049602246139,0.433966582742046,4.578,8.7847
5,2023-09-07,29.6,8.64,20.38072136369,327.017938244662,12.032,0.115451895043732,0.0651913875598086,0.0285437832607644,0.842302292934019,0.58960860608835,3.97,8.601
6,2023-09-07,30.2,7.55,12.9438973133344,40.6808201276225,19.2293333333333,0.28114674441205,0.0472488038277512,0.03096274794388,1.07627515208236,0.626230258640421,3.73,9.8012
7,2023-09-07,29.4,4.35,12.9781234506693,-93.6278906084001,14.01,0.26511175898931,0.0506664388243336,0.0285437832607644,1.05755732335049,0.50263218127718,3.846,9.899
8,2023-09-07,30.2,10.39,12.9438973133344,-274.595535861452,2.572,0.831681243926142,0.0446855775803144,0.0285437832607644,1.32896583996256,0.438544289311055,3.636,9.9335
9,2023-09-07,31.6,10.34,4.60158355795148,-365.365734501348,0.384666666666669,0.0833819241982508,0.00880041011619959,0.0333817126269956,0.299485259709874,0.4614328221561,4.425,7.5984
10,2023-09-07,31.8,11.34,4.59856563136814,-417.549759328227,1.94866666666667,0.0887269193391642,0.00880041011619959,0.0382196419932269,0.224613944782405,0.493476768139162,4.612,7.4559
11,2023-09-07,32.3,12.1,4.87677544974313,-341.573235039637,1.796,0.0620019436345966,0.012218045112782,0.0382196419932269,0.318203088441741,0.607919432364385,4.314,7.0566
12,2023-09-07,33.0,15.03,4.58054087632113,-509.35614544691,1.47666666666667,0.0138969873663751,0.012218045112782,0.0358006773101113,0.439868975198877,0.488899061570153,4.348,6.1123
13,2023-09-07,31.8,9.31,7.91495678448,-49.6645088187759,11.6406666666667,0.0459669582118562,,0.0261248185776488,0.533458118858212,0.54383154039826,,7.1373
14,2023-09-07,31.8,9.43,7.214268147003,-137.037255814771,7.33466666666667,0.0940719144800778,,0.0285437832607644,0.776789892372485,0.466010528725109,,9.8201
15,2023-09-07,31.8,9.66,8.27741813646265,-96.569878258731,8.11066666666667,0.147521865889213,,0.03096274794388,0.84230229293402,0.406500343327993,,9.2365
16,2023-09-07,31.4,6.49,11.9719741656308,-62.6226340971457,13.512,0.152866861030126,,0.0285437832607644,0.926532522227422,0.516365300984207,,9.5818
1,2023-09-15,24.6,8.21,3.73726636441355,364.383470530321,,,,,,,,
2,2023-09-15,24.7,6.99,1.86084670847579,241.910072101852,,,,,,,,
3,2023-09-15,24.6,8.68,0.9279289115858,177.234422112888,,,,,,,,
4,2023-09-15,24.5,9.37,1.85445959836441,127.030482487962,,,,,,,,
5,2023-09-15,26.4,6.84,4.68146416052651,653.5323968095,13.42073376,0.91156462585034,0.0186356938545549,0.02,1.35704258306036,0.0402838178072785,1.887,11.4922
6,2023-09-15,26.1,5.34,8.43508324382385,286.792830290011,7.0261752,0.999028182701652,0.0550403051053133,0.024,1.46934955545157,0.0494392309452964,2.195,11.121
7,2023-09-15,25.7,5.02,6.56940145557972,561.214581490954,7.0261752,0.940719144800778,0.0576406344803675,0.028,1.02948058025269,0.0402838178072785,2.549,12.0476
8,2023-09-15,25.3,4.6,0.939743735490511,829.793718438121,10.05243584,0.999028182701652,0.045505764063448,0.029,1.4506317267197,0.0494392309452964,3.843,13.3061
9,2023-09-15,25.6,4.93,1.85474370842201,-386.714063205989,,,,,,,,
10,2023-09-15,25.4,5.63,3.709603759666,-319.953324271193,,,,,,,,
11,2023-09-15,25.4,6.65,0.926959105624606,-383.761069728587,,,,,,,,
12,2023-09-15,25.6,6.71,0.926944653319695,-241.005609863121,,,,,,,,
13,2023-09-15,,,,,,,,,,,,
14,2023-09-15,,,,,,,,,,,,
15,2023-09-15,,,,,,,,,,,,
16,2023-09-15,,,,,,,,,,,,
1,2023-09-21,24.3,3.25,6.60032148260212,732.635684568835,11.34247264,0.0126336248785228,0.00880041011619959,0.033,0.458586803930744,0.0585946440833143,5.663,18.7762
2,2023-09-21,24.5,3.97,1.88453900794317,772.660993256702,3.45431184,0.0417881438289601,0.007946001367054,0.044,0.308844174075807,0.0402838178072785,5.537,18.1725
3,2023-09-21,23.7,2.94,10.3928977477803,736.006122320075,3.01522592,0.0126336248785228,0.00965481886534518,0.168,0.467945718296678,0.0906385900663767,5.342,17.7087
4,2023-09-21,23.7,4.87,3.77923554464737,243.760692629755,4.95974928,0.0369290573372206,0.007946001367054,0.051,0.308844174075807,0.0540169375143053,5.906,17.1524
5,2023-09-21,25.7,5.5,5.63091553335405,727.326589724898,14.1095424,1.22740524781341,0.0566473000683527,0.066,1.60973327094057,0.072327763790341,3.775,16.0749
6,2023-09-21,25.7,6.72,7.5078873778054,728.265075647124,10.22049568,1.31000971817298,0.064336978810663,0.04,1.60973327094057,0.0585946440833143,3.406,16.3796
7,2023-09-21,25.6,5.98,7.51040047818291,889.043656604901,8.28188992,1.25655976676385,0.068609022556391,0.061,1.5629386991109,0.0585946440833143,3.844,16.1521
8,2023-09-21,25.3,4.94,3.75897494196204,607.07445312687,14.22552736,1.07191448007775,0.0762987012987013,0.055,1.48806738418344,0.0631723506523232,3.888,16.1007
9,2023-09-21,23.8,7.55,1.88898143025521,-151.118514420417,7.70906624,0.172983479105928,0.00965481886534518,0.036,0.243331773514272,0.0402838178072785,5.447,12.2623
10,2023-09-21,25.6,7.12,2.81640017931859,-208.413613269576,10.22049568,0.26044703595724,0.0105092276144908,0.077,0.327562002807674,0.0540169375143053,5.46,12.5747
11,2023-09-21,25.7,7.48,3.7539436889027,-190.512642211812,15.979504,0.0709426627793976,0.00965481886534518,0.037,0.29012634534394,0.0540169375143053,5.296,11.9714
12,2023-09-21,25.7,11.03,1.87697184445135,-341.608875690146,9.53168704,0.129251700680272,0.00880041011619959,0.037,0.29012634534394,0.0448615243762875,5.281,11.5278
13,2023-09-21,25.0,4.2,19.75447551568,1227.59954990297,25.4417464,0.483965014577259,0.0489576213260424,0.073,1.03883949461862,0.072327763790341,5.593,13.9606
14,2023-09-21,25.7,4.25,16.8927466000621,1066.12000764837,30.7024928,0.493683187560739,0.049812030075188,0.047,1.04819840898456,0.0677500572213321,4.875,14.0434
15,2023-09-21,25.7,3.63,25.3391199000932,2453.20220069791,31.95820752,0.449951409135083,0.0463943950786056,0.044,1.02948058025269,0.0677500572213321,4.878,14.0522
16,2023-09-21,25.7,4.8,16.8927466000621,1076.44335279285,27.2584496,0.469387755102041,0.0942412850307587,0.025,1.04819840898456,0.0631723506523232,5.157,14.0119
1,2023-09-28,24.4,3.3,3.77034471997504,461.867228196942,7.58716368,0.0320699708454811,0.00130016468752709,0.022,0.121665886757136,0.0265506981002518,4.347,13.305
2,2023-09-28,24.6,4.0,3.76781216264844,211.939434148974,4.26502304,0.066083576287658,0.00130016468752709,0.021,0.149742629854937,0.0357061112382696,5.234,15.5145
3,2023-09-28,23.8,3.0,7.55592572102085,92.5600900825055,3.01522592,0.0126336248785228,0.00130016468752709,0.025,0.411792232101076,0.0494392309452964,4.853,15.1689
4,2023-09-28,23.8,4.9,1.88898143025521,-249.345548793688,4.95383168,0.0806608357628766,0.00130016468752709,0.021,0.346279831539541,0.0631723506523232,4.529,10.9927
5,2023-09-28,25.8,5.55,4.6908599741954,643.585988459609,34.59153952,0.775510204081632,0.0108347057293924,0.02,1.5348619560131,0.0494392309452964,3.178,10.7461
6,2023-09-28,25.8,6.75,4.6908599741954,451.260729517597,33.21392224,0.843537414965986,0.0377047759382855,0.017,1.41319606925597,0.0540169375143053,3.84,13.7159
7,2023-09-28,25.7,6.0,6.56940145557972,335.039474234566,20.1750824,0.702623906705539,0.0420386582300425,0.017,1.38511932615817,0.0265506981002518,4.191,17.3697
8,2023-09-28,25.4,5.0,5.63657379716248,232.038954649855,45.6799384,0.527696793002915,0.0203692467712577,0.016,1.06691623771642,0.0540169375143053,2.494,8.3137
9,2023-09-28,23.9,7.6,2.83251827494169,-342.734711267944,4.26502304,0.0126336248785228,0.00130016468752709,0.017,0.224613944782405,0.0265506981002518,5.724,13.2826
10,2023-09-28,25.7,7.15,1.87697184445135,-291.869121812185,3.13712848,0.0126336248785228,0.00130016468752709,0.017,0.196537201684605,0.0265506981002518,6.433,12.6129
11,2023-09-28,25.8,7.5,1.87634398967816,-341.494606121425,4.3869256,0.0515063168124394,0.00130016468752709,0.016,0.29012634534394,0.0311284046692607,5.141,9.6596
12,2023-09-28,25.8,11.05,3.75268797935632,-622.00803257831,4.95383168,0.0466472303206998,0.00130016468752709,0.018,0.252690687880206,0.0402838178072785,4.4,6.0334
13,2023-09-28,25.1,4.25,14.1056086097473,1069.20513261885,32.64701616,0.47424684159378,0.0550403051053133,0.016,1.23537669630323,0.0494392309452964,3.136,11.6361
14,2023-09-28,25.8,4.3,12.196235932908,606.997280660884,44.43014128,0.309037900874636,0.0333708936465286,0.016,1.13242863827796,0.0494392309452964,3.987,11.1715
15,2023-09-28,25.8,3.65,14.0725799225862,687.680072217045,47.74636432,0.338192419825073,0.025569905521366,0.014,1.23537669630323,0.0585946440833143,3.528,10.0781
16,2023-09-28,25.8,4.85,15.0107519174253,363.072562002724,41.2358208,0.658892128279883,0.089711363439369,0.016,1.21665886757136,0.072327763790341,3.732,10.3117
1,2023-10-06,22.6,5.59,5.6899378094433,740.64023819587,8.40379248,0.79980563654033,0.014301811562798,0.014,1.11371080954609,0.0311284046692607,2.409,15.8758
2,2023-10-06,22.2,9.69,1.89921461220344,,3.70403456,0.0126336248785228,0.00563404697928404,0.013,0.168460458586804,0.0357061112382696,2.385,9.9408
3,2023-10-06,21.7,5.37,12.3658291746409,344.340781632307,3.00930832,0.0126336248785228,0.00563404697928404,0.014,0.196537201684605,0.0540169375143053,2.52,11.3627
4,2023-10-06,22.5,12.94,1.8972874537943,-187.831457925636,4.3928432,0.0126336248785228,0.00130016468752709,0.013,0.0842302292934019,0.0402838178072785,2.263,10.3056
5,2023-10-06,23.0,5.9,5.68225259882781,213.084472456043,20.74790608,0.702623906705539,0.025569905521366,0.013,1.01076275152082,0.0494392309452964,2.727,11.3421
6,2023-10-06,22.9,8.3,4.7368099621203,-56.8417195454436,36.66388304,0.532555879494655,0.0394383288549883,0.013,0.963968179691156,0.072327763790341,2.995,12.3357
7,2023-10-06,23.0,10.35,7.57633679843709,-171.414620064639,3.70403456,0.513119533527697,0.0108347057293924,0.014,0.776789892372485,0.0677500572213321,3.033,11.0307
8,2023-10-06,23.0,8.12,8.52337889824172,134.479978172258,34.26843856,0.547133138969874,0.0221027996879605,0.013,1.02948058025269,0.0631723506523232,2.899,12.5574
9,2023-10-06,23.3,11.17,2.83825115051924,-349.104891513867,3.70403456,0.0126336248785228,0.00130016468752709,0.013,0.205896116050538,0.0402838178072785,3.521,7.4695
10,2023-10-06,23.4,11.53,2.83729406026447,-250.627641990028,3.69811696,0.0126336248785228,0.00130016468752709,0.012,0.224613944782405,0.0677500572213321,3.306,6.9115
11,2023-10-06,23.6,11.79,0.945127271633169,-415.855999518594,6.33144896,0.0126336248785228,0.00216694114587848,0.016,0.224613944782405,0.0631723506523232,3.548,7.5618
12,2023-10-06,24.1,16.69,3.77414994593296,-544.421129700829,5.64264032,0.0466472303206998,0.00130016468752709,0.01,0.233972859148339,0.0585946440833143,3.164,7.0249
13,2023-10-06,22.5,5.99,6.64050608828006,408.865446292672,20.181,0.47910592808552,0.0160353644795007,0.01,0.982686008423023,0.0997940032043946,2.769,11.1242
14,2023-10-06,22.5,5.36,8.53779354207436,254.236518808437,25.4417464,0.289601554907677,0.0212360232296091,0.01,0.907814693495555,0.11810482948043,2.77,11.0464
15,2023-10-06,22.5,5.89,16.1269433572516,410.762733746467,28.76388704,0.401360544217687,0.0446389876050967,0.009,0.907814693495555,0.0448615243762875,2.811,11.9063
16,2023-10-06,22.4,5.8,10.4386117287382,323.596963590884,22.12552336,0.401360544217687,0.0515731992719078,0.008,0.861020121665887,0.0631723506523232,3.106,11.8839
1,2023-10-12,22.1,5.5,11.399147211806,1076.44335279285,,1.282,0.015,0.001,1.705,0.037,2.348,17.5588
2,2023-10-12,21.7,9.6,2.85365288645558,534.584307396013,,0.577,0.013,0.001,0.925,0.026,2.289,12.9422
3,2023-10-12,21.2,5.25,1.90566684462132,384.944702613507,,0.637,0.017,0.001,1.134,0.024,1.087,8.148
4,2023-10-12,22.0,12.85,2.85075234142446,142.537617071223,,0.011,0.0,0.001,0.258,0.027,2.315,10.2016
5,2023-10-12,22.5,5.8,6.64050608828006,517.010831158948,,0.636,0.02,0.001,1.318,0.046,2.527,11.0014
6,2023-10-12,22.4,8.2,7.5917176209005,47.4482351306281,,1.608,0.043,0.001,1.673,0.043,2.712,12.3267
7,2023-10-12,22.5,10.3,5.69186236138291,68.3023483365949,,1.04,0.038,0.001,1.652,0.048,3.256,11.3153
8,2023-10-12,22.5,8.05,5.69186236138291,-103.40216623179,,0.965,0.039,0.001,1.62,0.096,3.235,12.9212
9,2023-10-12,22.8,11.1,2.84304630367099,-407.503303526175,,0.019,0.003,0.001,0.375,0.033,3.322,7.3515
10,2023-10-12,22.9,11.45,1.89472398484812,-399.786760802953,,0.025,0.001,0.001,0.362,0.027,2.668,6.2385
11,2023-10-12,23.1,11.7,2.84016726943942,-219.639602169982,,0.049,0.003,0.001,0.427,0.026,1.666,8.5187
12,2023-10-12,23.6,16.6,3.78050908653268,-401.679090444097,,0.073,0.006,0.001,0.459,0.031,3.425,7.5824
13,2023-10-12,22.0,5.9,10.452758585223,110.229090535079,,0.747,0.044,0.001,1.429,0.089,3.735,11.6391
14,2023-10-12,22.0,5.27,9.50250780474819,137.786363168849,,0.583,0.033,0.001,1.167,0.058,3.689,13.9992
15,2023-10-12,22.0,5.8,14.2537617071223,136.836112388374,,0.483,0.032,0.001,1.158,0.055,3.268,10.2054
16,2023-10-12,21.9,5.71,7.60458275837025,117.871032754739,,0.448,0.029,0.001,1.141,0.056,3.446,11.0475
1,2023-10-28,20.5,5.43,7.64083821848167,1536.76358669213,12.16501904,0.957,0.012,0.001,1.448,0.029,1.624,13.4876
2,2023-10-28,20.1,7.91,0.95640756302521,503.070378151261,11.4762104,0.726,0.01,0.001,1.13,0.02,1.71,13.3591
3,2023-10-28,20.0,7.64,0.956733814965522,517.592993896348,29.22072576,0.661,0.01,0.001,1.097,0.028,2.285,11.6923
4,2023-10-28,20.1,7.53,0.95640756302521,440.903886554622,10.22641328,0.49,0.008,0.001,0.827,0.023,3.29,4.851
5,2023-10-28,21.2,6.61,8.57550080079594,224.868687665316,34.84717984,0.467,0.023,0.001,1.144,0.047,2.766,13.8761
6,2023-10-28,21.2,6.11,8.57550080079594,349.689865988012,34.85309744,0.482,0.024,0.001,1.191,0.055,3.019,15.8647
7,2023-10-28,21.4,6.64,7.61749157310183,122.832051616267,38.73622656,0.455,0.022,0.001,1.05,0.051,2.531,12.0652
8,2023-10-28,21.4,7.65,14.2827966995659,219.955069173315,24.88667552,0.476,0.022,0.001,1.143,0.048,2.655,13.7175
9,2023-10-28,21.6,10.04,,,4.3928432,0.016,0.002,0.001,0.36,0.026,2.627,6.7689
10,2023-10-28,22.0,10.13,,,6.629696,0.029,0.002,0.001,0.365,0.023,2.838,6.6603
11,2023-10-28,22.5,10.88,1.8972874537943,-58.8159110676234,5.08165184,0.018,0.002,0.001,0.352,0.028,3.2,8.7862
12,2023-10-28,22.3,13.36,5.69571537364311,-205.995039346759,6.33736656,0.028,0.002,0.001,0.346,0.027,3.678,9.6933
13,2023-10-28,22.3,8.73,11.3914307472862,166.125031731257,36.22479712,0.421,0.024,0.001,1.149,0.05,3.835,13.2941
14,2023-10-28,22.2,8.31,17.092931509831,283.932584524414,39.4250352,0.423,0.023,0.001,1.256,0.057,2.094,8.855
15,2023-10-28,22.3,8.14,5.69571537364311,213.589326511617,37.8095304,0.424,0.023,0.001,1.183,0.053,3.033,12.8055
16,2023-10-28,22.5,8.87,,,30.84806576,0.443,0.023,0.001,1.166,0.051,2.933,11.9988
1,2023-11-02,20.1,5.97,5.73844537815126,1640.23897058824,16.7310392,0.563,0.009,0.001,1.03,0.028,2.272,15.063
2,2023-11-02,19.6,6.61,0.958041051604246,599.733698304258,11.60403056,0.231,0.007,0.001,0.628,0.028,2.851,12.7178
3,2023-11-02,19.7,7.24,1.91542781531257,600.48662010049,5.64264032,0.225,0.007,0.001,0.527,0.022,2.425,12.8647
4,2023-11-02,20.0,7.07,2.87020144489657,758.689915267659,7.59308128,0.075,0.004,0.001,0.344,0.021,2.638,14.8148
5,2023-11-02,21.8,8.32,10.459846402538,189.228130373187,27.38626976,0.964,0.02,0.001,1.602,0.045,2.188,12.5079
6,2023-11-02,21.6,9.21,3.80616139585605,116.08792257361,27.38626976,1.009,0.019,0.001,1.586,0.043,2.536,15.5835
7,2023-11-02,22.1,8.96,3.79971573726866,130.140264001452,30.14742192,0.895,0.02,0.001,1.534,0.048,2.995,18.1978
8,2023-11-02,22.5,10.95,3.79457490758861,32.2538867145032,21.55861728,0.733,0.02,0.001,1.191,0.04,2.533,11.6202
9,2023-11-02,23.4,9.64,3.78305874701929,-182.532584543681,3.13121088,0.049,0.002,0.001,0.443,0.025,4.798,11.9344
10,2023-11-02,22.8,10.27,0.947682101223663,-217.966883281442,2.32641728,0.04,0.002,0.001,0.354,0.032,3.469,9.3947
11,2023-11-02,23.1,10.0,0.946722423146474,-192.184651898734,1.88141376,0.028,0.001,0.001,0.357,0.023,3.661,8.1174
12,2023-11-02,22.5,13.15,0.948643726897152,-303.565992607089,3.70403456,0.03,0.0,0.001,0.333,0.026,3.52,7.7194
13,2023-11-02,23.5,10.29,22.6907009222027,-63.3448734078159,60.23013328,0.499,0.024,0.001,1.279,0.068,3.383,16.4308
14,2023-11-02,23.2,10.71,9.46402962230953,-68.1410132806286,62.04091888,0.488,0.024,0.001,1.37,0.08,3.121,12.9153
15,2023-11-02,23.3,10.1,9.46083716839746,-34.0590138062309,46.4965672,0.531,0.023,0.001,1.349,0.094,2.935,14.1938
16,2023-11-02,23.4,10.49,10.4034115543031,-17.0237643615868,30.7084104,0.593,0.022,0.001,1.277,0.055,2.935,13.1303
1,2023-11-09,18.2,5.96,1.92528929368212,954.943489666332,8.96478096,0.59,0.008,0.001,1.025,0.047,2.583,16.3323
2,2023-11-09,17.6,7.15,0.578778712688859,330.868497420464,6.33144896,0.363,0.007,0.001,0.691,0.025,2.621,14.2929
3,2023-11-09,17.7,7.17,1.9285990569513,388.612709975687,7.58716368,0.318,0.008,0.001,0.628,0.018,2.787,14.0229
4,2023-11-09,17.7,9.12,0.96429952847565,182.252610881898,12.03719888,0.184,0.006,0.001,0.455,0.018,2.46,14.4247
5,2023-11-09,18.6,7.42,1.92264965112009,37.4916681968417,29.33079312,0.946,0.031,0.001,1.638,0.059,2.343,14.4133
6,2023-11-09,18.3,7.45,7.69851481508713,51.9649750018381,14.9202536,0.846,0.032,0.001,1.628,0.054,2.433,15.9242
7,2023-11-09,18.2,6.9,5.77586788104636,27.9166947583907,16.86477696,0.854,0.032,0.001,1.608,0.057,2.584,15.4268
8,2023-11-09,18.2,5.78,2.88793394052318,47.169587695212,16.17005072,0.827,0.032,0.001,1.651,0.073,5.45,15.3002
9,2023-11-09,18.2,9.29,0.96264464684106,-316.710088810709,3.13712848,0.032,0.001,0.001,0.412,0.031,7.58,9.1722
10,2023-11-09,18.1,9.23,1.92595033721643,-67.4082618025751,1.7595112,0.022,0.001,0.001,0.365,0.029,3.476,8.9148
11,2023-11-09,18.0,9.31,3.85322366968426,-38.5322366968426,3.46022944,0.032,0.001,0.001,0.376,0.024,3.627,8.5599
12,2023-11-09,17.9,8.46,1.92727378702727,-24.0909223378408,2.7773384,0.034,0.001,0.001,0.391,0.03,3.471,8.9759
13,2023-11-09,18.0,5.09,4.81652958710532,34.6790130271583,18.23647664,0.491,0.043,0.001,1.457,0.062,3.097,14.4376
14,2023-11-09,18.1,5.03,16.3705778663397,183.928257204169,57.93173744,0.477,0.031,0.001,1.467,0.069,6.26,13.9514
15,2023-11-09,18.1,4.84,25.0373543838136,222.447263948498,14.22552736,0.497,0.04,0.001,1.544,0.066,3.034,14.4477
16,2023-11-09,18.0,5.38,13.4862828438949,227.340196511371,16.28603568,0.513,0.038,0.001,1.545,0.065,2.176,10.9697
1,2023-11-16,14.4,8.14,3.90146434160519,844.667029957523,22.0036208,0.742,0.014,0.008,1.373,0.02,3.981,16.1311
2,2023-11-16,13.2,10.51,1.95890705679862,198.82906626506,7.58716368,0.555,0.018,0.007,1.074,0.015,3.2,15.2609
3,2023-11-16,13.0,9.67,13.7219334265246,157.802234405032,6.89243744,0.546,0.022,0.01,1.048,0.018,2.856,13.1582
4,2023-11-16,12.8,11.47,1.96164726600555,-48.0603580171359,5.07573424,0.472,0.021,0.004,0.987,0.011,3.027,13.4153
5,2023-11-16,14.4,8.56,54.6205007824726,1839.54043706685,18.80338272,0.97,0.06,0.007,2.102,0.052,2.626,14.8541
6,2023-11-16,14.0,8.83,9.76724770528097,135.764743103405,21.9917856,0.838,0.068,0.007,2.028,0.041,3.262,15.4001
7,2023-11-16,14.1,8.16,5.85830846698993,196.253333644163,0.9606352,0.825,0.063,0.007,1.97,0.041,0.619,14.0737
8,2023-11-16,13.7,8.28,11.7329552528698,59.6425225354217,17.5535856,0.72,0.079,0.007,1.927,0.038,3.463,15.7479
9,2023-11-16,14.5,13.48,5.85016202726528,-69.2269173226391,1.07070256,0.104,0.003,0.007,0.453,0.029,4.951,7.8046
10,2023-11-16,14.2,14.17,4.88022477565935,-174.712046968605,2.44831984,0.096,0.003,0.007,0.443,0.013,4.865,7.8657
11,2023-11-16,14.0,13.14,4.88362385264048,-157.252688055024,2.44831984,0.091,0.003,0.007,0.49,0.012,4.888,7.7628
12,2023-11-16,14.2,13.38,8.78440459618683,-265.484227795869,3.70403456,0.093,0.004,0.008,0.519,0.022,4.517,7.9214
13,2023-11-16,14.4,9.33,12.6797591102169,158.984671920411,49.70272288,0.539,0.062,0.008,2.121,0.064,3.233,15.0933
14,2023-11-16,14.0,9.74,22.4646697221462,130.881119250765,85.41780592,0.528,0.047,0.012,2.41,0.089,3.599,14.7231
15,2023-11-16,13.8,9.14,21.5029217384811,225.780678254051,66.17968832,0.535,0.058,0.007,2.234,0.088,3.546,14.9601
16,2023-11-16,13.7,9.3,12.7107015239423,230.748119973107,29.33079312,0.593,0.05,0.006,2.113,0.05,3.625,14.8558
1,2023-11-23,16.7,9.06,1.93525284013899,287.38504676064,22.56460928,0.574,0.016,0.004,1.435,0.03,2.728,15.8739
2,2023-11-23,15.0,8.95,0.973335130512382,212.187058451699,12.16501904,0.553,0.017,0.007,1.347,0.025,2.45,15.1174
3,2023-11-23,14.8,9.26,3.89604470022077,128.569475107286,14.1095424,0.513,0.017,0.004,1.383,0.034,2.892,14.7804
4,2023-11-23,14.7,9.76,1.94869909923323,85.7427603662622,5.64264032,0.445,0.017,0.002,1.091,0.013,0.0,13.7773
5,2023-11-23,15.5,11.02,5.82989470688674,-87.4484206033011,33.90864848,0.92,0.034,0.004,2.401,0.044,2.938,16.0278
6,2023-11-23,15.6,12.22,1.94262523191095,-202.033024118738,27.39218736,0.886,0.035,0.004,2.331,0.046,2.845,16.233
7,2023-11-23,15.8,12.44,3.88256124391269,-69.8861023904284,43.99105536,0.743,0.035,0.002,2.371,0.054,2.871,16.2238
8,2023-11-23,16.3,11.95,3.87585445302668,-156.003141734324,55.78601568,0.716,0.042,0.004,2.62,0.069,2.99,16.0822
9,2023-11-23,17.8,12.56,0.963968097120271,-240.992024280068,1.19852272,0.076,0.003,0.004,0.623,0.022,3.547,7.6347
10,2023-11-23,17.2,12.9,0.965960109719797,-236.66022688135,1.7595112,0.066,0.003,0.004,0.587,0.016,3.92,7.9405
11,2023-11-23,16.7,13.29,0.967626420069494,-287.38504676064,0.50379648,0.056,0.001,0.004,0.622,0.018,0.0,9.0942
