Position,Site,Month,Water depth (m)
4,翠洲围隔4,2023-07,0.68
4,翠洲围隔4,2023-08,0.65
4,翠洲围隔4,2023-09,0.51
4,翠洲围隔4,2023-10,0.98
4,翠洲围隔4,2023-11,0.84
4,翠洲围隔4,2023-12,0.7
4,翠洲围隔4,2024-01,0.94
5,敞水区1,2022-09,1.1
5,敞水区1,2022-10,1.6
5,敞水区1,2022-11,1.7
5,敞水区1,2023-02,1.7
5,敞水区1,2023-03,1.4
5,敞水区1,2023-04,1.5
5,敞水区1,2023-05,1.56
5,敞水区1,2023-06,1.2
5,敞水区1,2023-07,1.2
5,敞水区1,2023-08,1.3
5,敞水区1,2023-09,1.4
5,敞水区1,2023-10,1.7
5,敞水区1,2023-11,1.5
5,敞水区1,2023-12,1.6
5,敞水区1,2024-01,1.5
6,敞水区2,2022-09,1.2
6,敞水区2,2022-10,1.7
6,敞水区2,2022-11,1.9
6,敞水区2,2023-02,1.4
6,敞水区2,2023-03,1.3
6,敞水区2,2023-04,1.4
6,敞水区2,2023-05,1.53
6,敞水区2,2023-06,1.0
6,敞水区2,2023-07,1.0
6,敞水区2,2023-08,1.1
6,敞水区2,2023-09,1.1
6,敞水区2,2023-10,1.5
6,敞水区2,2023-11,1.6
6,敞水区2,2023-12,1.5
6,敞水区2,2024-01,1.6
7,敞水区3,2022-09,1.4
7,敞水区3,2022-10,1.5
7,敞水区3,2022-11,2.0
7,敞水区3,2023-02,1.6
7,敞水区3,2023-03,1.3
7,敞水区3,2023-04,1.4
7,敞水区3,2023-05,1.6
7,敞水区3,2023-06,1.3
7,敞水区3,2023-07,1.1
7,敞水区3,2023-08,1.3
7,敞水区3,2023-09,1.1
7,敞水区3,2023-10,1.5
7,敞水区3,2023-11,2.0
7,敞水区3,2023-12,1.6
7,敞水区3,2024-01,1.7
8,敞水区4,2022-09,1.6
8,敞水区4,2022-10,1.3
8,敞水区4,2022-11,1.5
8,敞水区4,2023-02,1.8
8,敞水区4,2023-03,1.7
8,敞水区4,2023-04,1.3
8,敞水区4,2023-05,1.13
8,敞水区4,2023-06,0.8
8,敞水区4,2023-07,1.4
8,敞水区4,2023-08,0.9
8,敞水区4,2023-09,0.94
8,敞水区4,2023-10,1.5
8,敞水区4,2023-11,1.2
8,敞水区4,2023-12,1.6
8,敞水区4,2024-01,1.2
9,太平门围隔1-1,2022-09,0.75
9,太平门围隔1-1,2022-10,0.7
9,太平门围隔1-1,2022-11,1.65
9,太平门围隔1-1,2023-02,1.36
9,太平门围隔1-1,2023-03,1.22
9,太平门围隔1-1,2023-04,0.94
9,太平门围隔1-1,2023-05,0.88
9,太平门围隔1-1,2023-06,0.65
9,太平门围隔1-1,2023-07,
9,太平门围隔1-1,2023-08,
9,太平门围隔1-1,2023-09,0.63
9,太平门围隔1-1,2023-10,
9,太平门围隔1-1,2023-11,0.0
9,太平门围隔1-1,2023-12,
9,太平门围隔1-1,2024-01,
10,太平门围隔1-2,2022-09,0.75
10,太平门围隔1-2,2022-10,1.1
10,太平门围隔1-2,2022-11,1.4
10,太平门围隔1-2,2023-02,1.3
10,太平门围隔1-2,2023-03,1.25
10,太平门围隔1-2,2023-04,0.98
10,太平门围隔1-2,2023-05,1.0
10,太平门围隔1-2,2023-06,0.66
10,太平门围隔1-2,2023-07,
10,太平门围隔1-2,2023-08,
10,太平门围隔1-2,2023-09,0.59
10,太平门围隔1-2,2023-10,
10,太平门围隔1-2,2023-11,0.0
10,太平门围隔1-2,2023-12,
10,太平门围隔1-2,2024-01,
11,太平门围隔1-3,2022-09,0.49
11,太平门围隔1-3,2022-10,0.5
11,太平门围隔1-3,2022-11,1.3
11,太平门围隔1-3,2023-02,1.36
11,太平门围隔1-3,2023-03,1.22
11,太平门围隔1-3,2023-04,1.1
11,太平门围隔1-3,2023-05,0.87
11,太平门围隔1-3,2023-06,0.75
11,太平门围隔1-3,2023-07,
11,太平门围隔1-3,2023-08,
11,太平门围隔1-3,2023-09,0.65
11,太平门围隔1-3,2023-10,
11,太平门围隔1-3,2023-11,0.0
11,太平门围隔1-3,2023-12,
11,太平门围隔1-3,2024-01,
12,太平门围隔1-4,2022-09,0.51
12,太平门围隔1-4,2022-10,0.5
12,太平门围隔1-4,2022-11,1.27
12,太平门围隔1-4,2023-02,1.23
12,太平门围隔1-4,2023-03,1.06
12,太平门围隔1-4,2023-04,1.0
12,太平门围隔1-4,2023-05,0.93
12,太平门围隔1-4,2023-06,0.69
12,太平门围隔1-4,2023-07,
12,太平门围隔1-4,2023-08,
12,太平门围隔1-4,2023-09,0.65
12,太平门围隔1-4,2023-10,
12,太平门围隔1-4,2023-11,0.0
12,太平门围隔1-4,2023-12,
12,太平门围隔1-4,2024-01,
13,太平门围隔2-1,2022-09,0.75
13,太平门围隔2-1,2022-10,0.9
13,太平门围隔2-1,2022-11,1.0
13,太平门围隔2-1,2023-02,1.0
13,太平门围隔2-1,2023-03,0.92
13,太平门围隔2-1,2023-04,1.03
13,太平门围隔2-1,2023-05,0.9
13,太平门围隔2-1,2023-06,0.67
13,太平门围隔2-1,2023-07,0.72
13,太平门围隔2-1,2023-08,0.96
13,太平门围隔2-1,2023-09,0.59
13,太平门围隔2-1,2023-10,0.93
13,太平门围隔2-1,2023-11,0.9
13,太平门围隔2-1,2023-12,1.1
13,太平门围隔2-1,2024-01,0.1
14,太平门围隔2-2,2022-09,1.0
14,太平门围隔2-2,2022-10,0.4
14,太平门围隔2-2,2022-11,1.08
14,太平门围隔2-2,2023-02,1.1
14,太平门围隔2-2,2023-03,0.9
14,太平门围隔2-2,2023-04,1.04
14,太平门围隔2-2,2023-05,0.99
14,太平门围隔2-2,2023-06,0.6
14,太平门围隔2-2,2023-07,0.78
14,太平门围隔2-2,2023-08,0.78
14,太平门围隔2-2,2023-09,0.57
14,太平门围隔2-2,2023-10,0.96
14,太平门围隔2-2,2023-11,0.99
14,太平门围隔2-2,2023-12,1.0
14,太平门围隔2-2,2024-01,0.31
15,太平门围隔2-3,2022-09,0.39
15,太平门围隔2-3,2022-10,0.9
15,太平门围隔2-3,2022-11,1.16
15,太平门围隔2-3,2023-02,1.1
15,太平门围隔2-3,2023-03,1.02
15,太平门围隔2-3,2023-04,1.0
15,太平门围隔2-3,2023-05,0.86
15,太平门围隔2-3,2023-06,0.51
15,太平门围隔2-3,2023-07,0.76
15,太平门围隔2-3,2023-08,0.8
15,太平门围隔2-3,2023-09,0.71
15,太平门围隔2-3,2023-10,1.1
15,太平门围隔2-3,2023-11,1.18
15,太平门围隔2-3,2023-12,1.1
15,太平门围隔2-3,2024-01,0.53
16,太平门围隔2-4,2022-09,0.41
16,太平门围隔2-4,2022-10,0.6
16,太平门围隔2-4,2022-11,1.1
16,太平门围隔2-4,2023-02,1.3
16,太平门围隔2-4,2023-03,1.0
16,太平门围隔2-4,2023-04,1.0
16,太平门围隔2-4,2023-05,0.93
16,太平门围隔2-4,2023-06,0.7
16,太平门围隔2-4,2023-07,0.74
16,太平门围隔2-4,2023-08,0.75
16,太平门围隔2-4,2023-09,0.69
16,太平门围隔2-4,2023-10,0.98
16,太平门围隔2-4,2023-11,1.1
16,太平门围隔2-4,2023-12,1.1
16,太平门围隔2-4,2024-01,0.31
